thread,path,calls,total_s,avg_s,tpe_s
"47924","[Profiler thread 47924]/taichi::lang::TaichiLLVMContext::get_this_thread_runtime_module",21,0.010725,0.000510714,0
"47924","[Profiler thread 47924]/taichi::lang::TaichiLLVMContext::get_this_thread_runtime_module/taichi::lang::LlvmModuleBitcodeLoader::load",1,0.010664,0.010664,0
"47924","[Profiler thread 47924]/taichi::lang::`anonymous-namespace'::TaskCodeGenCPU::TaskCodeGenCPU",7,9.00001e-06,1.28572e-06,0
"47924","[Profiler thread 47924]/taichi::lang::irpass::offload_to_executable",7,0.018815,0.00268786,0
"47924","[Profiler thread 47924]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::analysis::verify",77,0.001963,2.54935e-05,0
"47924","[Profiler thread 47924]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::demote_atomics",14,0.000647,4.62143e-05,0
"47924","[Profiler thread 47924]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::demote_atomics/taichi::lang::irpass::type_check",14,0.000167,1.19286e-05,0
"47924","[Profiler thread 47924]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::cache_loop_invariant_global_vars",7,0.000282,4.02857e-05,0
"47924","[Profiler thread 47924]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::type_check",35,0.000418,1.19429e-05,0
"47924","[Profiler thread 47924]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::replace_all_usages_with",7,1.4e-05,2.00001e-06,0
"47924","[Profiler thread 47924]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::make_thread_local",7,0.000268,3.82857e-05,0
"47924","[Profiler thread 47924]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::make_thread_local/taichi::lang::irpass::type_check",7,7.9e-05,1.12857e-05,0
"47924","[Profiler thread 47924]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::make_mesh_thread_local",7,8.5e-05,1.21429e-05,0
"47924","[Profiler thread 47924]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::make_mesh_thread_local/taichi::lang::irpass::type_check",7,7.5e-05,1.07143e-05,0
"47924","[Profiler thread 47924]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::demote_mesh_statements",7,0.000115,1.64286e-05,0
"47924","[Profiler thread 47924]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::demote_mesh_statements/taichi::lang::irpass::type_check",7,8.3e-05,1.18571e-05,0
"47924","[Profiler thread 47924]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::remove_range_assumption",7,2.7e-05,3.85714e-06,0
"47924","[Profiler thread 47924]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::remove_loop_unique",7,3e-05,4.28571e-06,0
"47924","[Profiler thread 47924]/taichi::lang::irpass::offload_to_executable/taichi::lang::irpass::full_simplify",14,0.012487,0.000891929,0
